player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Ron Dayne,589,HB,HST,11,-0.4,1,93.3,,0,0,0,0.0,0,3,13,0,80.6,74.7,59.5,88.2,59.9,0.0,0,0,13,31.3,50,160,0,14,65.0,104,0.0,0,88.1,15,0,4.4,7,77,83,5.9,5.5,0.74
Shaun Alexander,597,HB,SEA,10,-0.2,2,80.0,,0,0,0,14.3,2,2,29,1,46.0,37.9,50.9,76.5,34.4,0.0,0,0,14,15.4,37,241,1,12,80.9,195,0.8,2,80.0,15,0,7.9,19,48,56,4.7,4.0,0.25
Joshua Cribbs,2544,WR,CLV,14,7.3,1,66.7,,0,0,1,23.1,3,4,8,1,29.5,21.5,47.0,46.5,48.8,0.0,0,0,14,0.0,0,140,1,10,96.4,135,16.4,23,82.9,15,0,83.6,117,91,47,4.7,9.1,0.67
Stephen Davis,192,HB,SL,15,2.0,1,80.0,,0,0,0,7.7,1,5,26,0,61.8,43.0,58.5,71.4,63.3,0.0,0,0,18,24.1,20,83,0,12,71.1,59,1.2,1,113.9,15,1,0.0,0,90,70,5.8,7.5,1.53
Koren Robinson,2864,WR,GB,3,14.5,0,46.7,,0,0,0,12.5,1,6,12,0,54.9,70.1,70.9,,69.9,0.0,0,0,24,0.0,0,53,1,7,86.8,46,17.0,9,65.7,15,0,83.0,44,89,17,2.4,12.7,1.93
Jerious Norwood,3024,HB,ATL,14,0.0,2,85.7,,0,0,0,0.0,0,4,2,0,80.6,88.1,78.3,85.9,80.2,1.3,1,0,32,12.5,10,80,0,12,82.5,66,0.0,0,97.0,14,0,16.3,13,102,98,8.2,8.5,1.55
Julius Jones,1764,HB,DAL,16,-1.3,0,64.3,,0,0,0,18.2,2,7,9,0,41.1,84.9,46.7,76.2,53.0,0.3,1,1,39,38.1,111,291,1,9,58.1,169,1.0,3,68.2,14,0,5.2,15,142,150,16.7,15.8,0.84
Jim Finn,541,FB,NYG,16,1.6,0,57.1,,0,0,1,11.1,1,4,21,0,35.7,71.5,76.2,67.4,42.2,0.0,0,0,11,20.6,29,141,2,8,74.5,105,2.8,4,65.8,14,0,9.2,13,54,44,5.5,6.8,0.51
Nick Goings,956,HB,CAR,9,4.9,1,71.4,,0,0,0,0.0,0,3,5,0,78.0,76.1,63.9,83.8,73.7,1.6,1,1,23,18.0,11,61,0,10,80.3,49,9.8,6,87.5,14,1,19.7,12,107,77,7.7,10.7,2.18
Lamont Jordan,819,HB,OAK,9,-2.4,2,71.4,,0,0,0,0.0,0,4,23,1,78.0,69.0,62.1,71.2,46.7,0.5,1,0,21,46.3,88,190,0,10,51.6,98,0.0,0,83.6,14,0,0.5,1,74,99,9.9,7.4,0.76
Jim Kleinsasser,469,TE,MIN,16,7.3,0,50.0,,0,0,0,30.0,3,1,18,0,28.4,69.5,73.5,70.0,30.4,96.2,205,1,14,41.8,89,213,0,7,54.5,116,1.9,4,28.0,14,0,1.4,3,47,19,2.7,6.7,0.41
Aaron Moorehead,1665,WR,IND,10,10.2,0,57.1,,0,0,0,0.0,0,5,14,0,76.5,70.1,57.8,,57.4,0.0,0,0,36,0.0,0,97,0,8,99.0,96,7.2,7,97.9,14,1,92.8,90,82,11,1.4,10.3,0.85
Dwayne Blakley,1219,TE,ATL,16,11.8,0,46.2,,0,0,0,0.0,0,4,2,0,74.6,68.8,52.6,60.4,51.3,48.6,67,3,28,15.9,22,138,1,6,81.9,113,35.5,49,25.3,13,0,8.7,12,76,20,3.3,12.7,0.67
Tony Richardson,110,FB,MIN,9,1.6,5,100.0,,0,0,0,0.0,0,7,18,0,80.6,74.9,75.4,69.6,80.0,2.8,3,0,35,25.0,27,108,0,13,69.4,75,0.0,0,105.4,13,0,0.0,0,121,100,7.7,9.3,1.61
Visanthe Shiancoe,1406,TE,NYG,16,4.8,0,92.3,,0,0,0,0.0,0,4,21,1,79.4,20.9,58.1,74.2,50.4,70.8,119,1,16,17.9,30,168,2,12,79.2,133,19.0,32,60.6,13,0,4.2,7,81,35,2.9,6.8,0.61
Brandon Jacobs,2327,HB,NYG,15,-1.1,2,84.6,,0,0,0,8.3,1,3,21,0,60.2,43.0,70.9,51.0,68.7,0.0,0,0,43,30.9,30,97,2,11,67.0,65,2.1,2,114.4,13,0,4.1,4,149,168,15.3,13.5,2.29
Maurice Hicks,1253,HB,SF,13,-0.3,4,100.0,,0,0,0,0.0,0,6,28,0,80.0,80.6,64.1,80.4,90.4,1.5,1,0,33,24.6,16,65,0,13,70.8,46,3.1,2,136.2,13,1,0.0,0,137,141,10.8,10.5,2.98
Robert Ferguson,811,WR,GB,4,18.4,0,38.5,,0,0,0,0.0,0,2,12,0,73.4,68.0,50.4,,50.2,0.0,0,0,10,0.0,0,109,0,5,97.2,106,6.4,7,72.3,13,1,93.6,102,31,-2,-0.4,6.2,0.29
Ben Hartsock,1789,TE,TEN,6,7.2,2,46.2,,0,0,0,33.3,3,4,31,0,27.9,68.8,65.2,61.6,51.7,86.0,86,0,23,28.0,28,100,1,6,72.0,72,12.0,12,62.3,13,0,2.0,2,68,52,8.7,11.3,0.94
Johnnie Morant,1855,WR,OAK,9,9.9,1,53.8,,0,0,0,12.5,1,3,23,2,54.5,11.2,48.1,,48.5,0.0,0,2,18,0.0,0,137,1,7,94.9,130,10.2,14,29.8,13,0,89.8,123,70,22,3.1,10.0,0.54
Jeff Dugan,1936,TE,MIN,7,4.2,2,66.7,,0,0,0,11.1,1,5,18,0,54.5,70.1,62.1,68.6,60.8,9.5,10,1,10,26.7,28,105,0,8,69.5,73,2.9,3,64.6,12,1,2.9,3,40,30,3.8,5.0,0.55
Maurice Stovall,3035,WR,TB,7,9.4,1,58.3,,0,0,1,12.5,1,5,30,0,54.5,71.5,64.5,,59.9,0.0,0,1,27,0.0,0,93,2,7,96.8,90,19.4,18,51.4,12,0,80.6,75,102,28,4.0,14.6,1.13
Jason Avant,3054,WR,PHI,7,10.8,2,58.3,,0,0,0,0.0,0,5,24,1,76.5,18.5,56.7,69.9,55.0,1.9,2,0,18,1.9,2,107,1,7,93.5,100,69.2,74,102.1,12,1,29.0,31,68,35,5.0,9.7,0.68
Michael Robinson,3045,HB,SF,12,0.0,2,75.0,,0,0,1,0.0,0,3,28,0,77.3,81.5,52.1,81.6,70.6,0.0,0,0,12,24.7,18,73,3,9,69.9,51,2.7,2,80.9,12,0,2.7,2,47,52,5.8,5.2,0.92
Brandon Miree,1961,FB,GB,10,1.9,0,75.0,,0,0,0,18.2,2,3,12,0,38.4,70.6,48.1,87.7,42.3,0.0,0,0,20,21.3,20,94,1,9,75.5,71,0.0,0,84.4,12,0,2.1,2,57,32,3.6,6.3,0.8
Jerome Harrison,3090,HB,CLV,10,2.6,1,75.0,,0,0,0,10.0,1,1,8,0,41.1,28.7,55.6,76.6,51.8,0.6,1,0,12,52.7,87,165,0,9,44.2,73,2.4,4,80.9,12,0,7.9,13,47,58,6.4,5.2,0.64
Dan Kreider,749,FB,PIT,16,1.5,0,66.7,,0,0,0,20.0,2,2,25,0,35.3,70.8,72.3,53.0,42.2,1.4,2,0,15,21.9,32,146,0,8,76.0,111,0.7,1,79.2,12,0,0.0,0,62,51,6.4,7.8,0.56
Mike Anderson,693,HB,BLT,13,-1.4,2,75.0,,0,0,0,10.0,1,2,3,0,58.5,41.9,55.9,54.8,54.5,0.9,1,0,13,40.9,47,115,0,9,56.5,65,5.2,6,83.3,12,0,4.3,5,54,70,7.8,6.0,0.83
Michael Bennett,797,HB,KC,11,-0.8,4,75.0,,0,0,0,0.0,0,1,16,0,78.0,81.6,67.7,80.8,69.0,0.0,0,0,14,8.3,5,60,0,9,90.0,54,6.7,4,91.3,12,0,3.3,2,77,85,9.4,8.6,1.43
Brad Smith,3048,WR,NYJ,15,3.8,1,75.0,,0,0,0,0.0,0,5,22,0,78.0,78.1,64.5,66.3,66.4,6.5,6,1,19,1.1,1,92,1,9,92.4,85,35.9,33,52.1,12,0,47.8,44,64,40,4.4,7.1,0.75
Kelley Washington,1380,WR,CIN,5,7.3,1,75.0,,0,0,0,0.0,0,7,7,0,77.3,70.6,70.9,,65.8,0.0,0,0,22,0.0,0,101,0,9,98.0,99,72.3,73,132.3,12,1,26.7,27,115,47,5.2,12.8,1.16
Keary Colbert,1783,WR,CAR,11,15.2,1,45.5,,0,0,0,0.0,0,4,5,0,45.8,68.0,50.6,60.5,50.6,2.1,3,1,16,0.7,1,143,0,5,94.4,135,29.4,42,23.3,11,0,68.5,98,56,21,4.2,11.2,0.41
Ernie Conwell,180,TE,NO,7,5.1,0,72.7,,0,0,0,20.0,2,3,20,0,56.7,70.6,66.4,69.8,46.7,84.1,116,0,15,27.5,38,138,1,8,68.1,94,10.1,14,114.6,11,1,0.7,1,57,16,2.0,7.1,0.61
Chris Perry,1747,HB,CIN,4,-0.6,0,81.8,,0,0,0,0.0,0,3,7,0,78.0,75.8,82.6,79.0,87.6,0.0,0,0,12,15.4,4,26,0,9,80.8,21,3.8,1,82.6,11,0,15.4,4,42,52,5.8,4.7,2.0
Sam Hurd,3362,WR,DAL,13,12.2,1,45.5,,0,0,0,0.0,0,2,9,0,74.6,68.8,70.9,,68.7,0.0,0,0,33,0.0,0,61,0,5,91.8,56,18.0,11,68.4,11,0,80.3,49,75,14,2.8,15.0,1.34
Terrelle Smith,651,FB,CLV,16,0.2,2,72.7,,0,0,0,20.0,2,0,8,0,35.3,74.6,57.3,84.5,37.9,2.7,4,0,7,30.0,45,150,0,8,66.7,100,2.7,4,75.2,11,0,4.0,6,21,22,2.8,2.6,0.21
Brandon Stokley,498,WR,IND,4,12.5,1,72.7,,0,0,0,27.3,3,3,14,0,29.1,70.6,55.5,,54.7,0.0,0,0,23,0.0,0,57,0,8,93.0,53,94.7,54,125.2,11,1,5.3,3,85,31,3.9,10.6,1.6
B.J. Askew,1400,FB,NYJ,13,2.9,2,81.8,,0,0,0,0.0,0,3,22,0,77.3,74.0,62.4,62.4,63.2,3.1,4,0,12,43.4,56,129,0,9,54.3,70,3.1,4,85.6,11,0,8.5,11,50,46,5.1,5.6,0.71
Shawn Bryson,491,FB,DET,6,1.4,1,90.0,,0,0,0,0.0,0,6,11,0,77.3,72.0,71.9,48.4,90.5,0.0,0,0,37,17.1,7,41,0,9,82.9,34,7.3,3,145.8,10,1,4.9,2,110,103,11.4,12.2,3.24
Cory Schlesinger,141,FB,DET,12,1.9,0,80.0,,0,0,0,0.0,0,0,11,0,77.6,70.4,65.1,83.5,54.7,0.9,1,0,6,34.0,36,106,0,8,61.3,65,0.0,0,81.7,10,0,1.9,2,36,21,2.6,4.5,0.55
Taylor Jacobs,1360,WR,SF,7,17.0,0,40.0,,0,0,0,0.0,0,2,28,0,72.1,67.0,59.8,,59.3,0.0,0,0,10,0.0,0,57,0,4,98.2,56,5.3,3,47.9,10,0,94.7,54,29,1,0.3,7.3,0.52
J.J. Arrington,2261,HB,ARZ,12,0.2,2,80.0,,0,0,0,11.1,1,4,1,0,54.5,76.7,49.9,51.3,58.5,0.0,0,0,19,20.0,10,50,0,8,76.0,38,0.0,0,90.8,10,0,0.0,0,58,53,6.6,7.3,1.53
Madison Hedgecock,2468,FB,SL,15,2.0,0,70.0,,0,0,0,12.5,1,1,26,0,52.5,70.3,69.0,78.8,43.2,6.1,8,0,7,38.9,51,131,0,7,58.8,77,0.8,1,72.9,10,0,0.0,0,29,19,2.7,4.1,0.38
Eddie Drummond,1237,WR,DET,6,7.8,0,20.0,,0,0,0,50.0,2,1,11,0,27.3,66.2,45.1,,46.3,0.0,0,1,8,0.0,0,65,0,2,93.8,61,53.8,35,0.0,10,0,44.6,29,10,2,1.0,5.0,0.16
Jamal Jones,2088,WR,NO,7,19.5,1,60.0,,0,0,0,14.3,1,3,20,0,49.2,68.8,64.1,,62.8,0.0,0,1,41,0.0,0,60,0,6,95.0,57,40.0,24,90.8,10,1,60.0,36,108,37,6.2,18.0,1.89
Kevan Barlow,841,HB,NYJ,12,-1.8,0,70.0,,0,0,0,30.0,3,1,22,0,28.8,90.0,37.2,53.1,32.2,0.0,0,0,8,52.0,39,75,0,7,45.3,34,0.0,0,72.9,10,0,4.0,3,21,33,4.7,3.0,0.62
Jason Wright,2212,HB,CLV,9,-0.3,0,60.0,,0,0,0,14.3,1,2,8,0,29.8,53.8,48.5,62.4,42.5,0.9,1,0,54,40.6,43,106,0,6,57.5,61,2.8,3,86.3,10,0,5.7,6,82,86,14.3,13.7,1.34
Sinorice Moss,2989,WR,NYG,6,10.4,1,50.0,,0,0,0,28.6,2,1,21,0,29.7,68.8,53.8,,54.7,0.0,0,0,10,0.0,0,27,0,5,92.6,25,44.4,12,56.3,10,0,55.6,15,25,24,4.8,5.0,1.0
Cecil Sapp,1695,FB,DEN,11,1.1,0,80.0,,0,0,0,11.1,1,1,10,0,54.5,75.4,56.1,60.7,57.1,0.0,0,0,9,28.0,14,50,1,8,70.0,35,0.0,0,80.8,10,0,0.0,0,34,29,3.6,4.3,0.97
Cortez Hankton,1618,WR,JAX,12,16.2,0,50.0,,0,0,0,0.0,0,4,15,0,74.6,68.8,57.1,,56.2,0.0,0,0,15,0.0,0,99,0,5,91.9,91,16.2,16,63.8,10,0,83.8,83,48,0,0.0,9.6,0.53
Jason Dunn,178,TE,KC,15,5.2,2,40.0,,0,0,0,50.0,4,3,16,0,25.9,67.0,67.7,69.6,37.1,88.2,127,0,15,56.3,81,144,4,4,42.4,61,9.7,14,52.1,10,0,0.7,1,40,32,8.0,10.0,0.66
Casey Fitzsimmons,1607,TE,DET,8,7.2,0,70.0,,0,0,0,0.0,0,3,11,0,75.6,69.5,65.0,71.6,64.8,39.0,16,0,18,2.4,1,41,0,7,95.1,39,31.7,13,90.0,10,0,19.5,8,71,51,7.3,10.1,1.82
Heath Evans,843,FB,NE,15,1.4,1,77.8,,0,0,0,0.0,0,2,19,0,75.6,29.7,71.2,71.1,77.0,3.0,2,0,11,29.9,20,67,1,7,65.7,44,0.0,0,119.4,9,1,4.5,3,34,28,4.0,4.9,0.77
Daimon Shelton,287,FB,BUF,14,2.8,0,77.8,,0,0,0,0.0,0,2,4,0,75.6,69.5,68.8,78.5,66.2,0.0,0,0,14,55.1,54,98,4,7,44.9,44,0.0,0,82.9,9,0,2.0,2,35,24,3.4,5.0,0.8
Aveion Cason,945,HB,DET,6,-1.3,0,55.6,,0,0,1,16.7,1,1,11,0,45.8,79.0,52.5,64.1,46.9,0.0,0,0,14,16.9,11,65,1,5,76.9,50,0.0,0,60.9,9,0,1.5,1,26,29,5.8,5.2,0.52
Jeremi Johnson,1430,FB,CIN,16,0.9,0,77.8,,0,0,0,22.2,2,1,7,0,32.2,76.8,78.3,46.8,37.1,3.5,5,0,17,22.5,32,142,1,7,74.6,106,2.1,3,83.3,9,0,2.1,3,36,32,4.6,5.1,0.34
Devale Ellis,3303,WR,DET,8,12.3,1,44.4,,0,0,0,0.0,0,2,11,0,72.1,69.4,55.6,,53.6,0.0,0,1,19,0.0,0,96,0,4,95.8,92,39.6,38,18.5,9,0,60.4,58,41,16,4.0,10.3,0.45
Cedric Benson,2221,HB,CHI,15,-2.6,2,88.9,,0,0,0,0.0,0,2,6,0,76.5,90.3,47.6,51.2,66.6,0.0,0,0,22,38.5,45,117,0,8,57.3,67,1.7,2,91.7,9,0,5.1,6,54,75,9.4,6.8,0.81
Kyle Johnson,1138,FB,DEN,13,3.1,0,77.8,,0,0,0,12.5,1,2,10,0,52.1,72.9,62.4,84.4,54.1,1.1,1,0,20,28.4,27,95,0,7,68.4,65,0.0,0,120.8,9,1,1.1,1,37,35,5.0,5.3,0.57
John Gilmore,1176,TE,CHI,16,6.1,1,66.7,,0,0,0,0.0,0,3,6,0,75.9,69.1,88.6,70.0,55.5,97.9,95,0,18,23.7,23,97,2,6,72.2,70,1.0,1,114.8,9,2,1.0,1,38,24,4.0,6.3,0.54
Mark Bruener,125,TE,HST,13,5.3,0,100.0,,0,0,0,0.0,0,4,13,0,77.3,70.6,71.0,64.8,61.5,100.0,99,0,25,38.4,38,99,1,9,59.6,59,0.0,0,135.0,9,2,0.0,0,62,29,3.2,6.9,1.05
Rod Gardner,785,WR,KC,13,12.2,0,22.2,,0,0,0,33.3,1,2,16,0,30.0,64.0,54.1,,49.5,0.0,0,2,13,0.0,0,63,0,2,93.7,59,14.3,9,0.0,9,0,85.7,54,17,8,4.0,8.5,0.29
Michael Jennings,1261,WR,NYG,4,4.0,0,62.5,,0,0,0,0.0,0,2,21,0,73.4,70.0,66.5,,66.4,4.3,1,0,20,0.0,0,23,0,5,100.0,23,8.7,2,79.7,8,0,87.0,20,49,43,8.6,9.8,2.13
Justin Gage,1452,WR,CHI,4,14.4,1,50.0,,0,0,0,0.0,0,2,6,1,72.1,18.7,56.9,,55.7,0.0,0,1,34,0.0,0,57,0,4,94.7,54,15.8,9,39.6,8,0,84.2,48,68,17,4.3,17.0,1.26
Gabe Reid,1688,TE,CHI,8,4.1,1,50.0,,0,0,0,20.0,1,2,6,0,41.6,67.0,64.8,73.9,49.9,50.7,38,0,19,20.0,15,75,2,4,78.7,59,24.0,18,63.0,8,0,0.0,0,37,19,4.8,9.3,0.63
Marcel Shipp,987,HB,ARZ,11,2.1,0,75.0,,0,0,0,14.3,1,3,1,0,49.7,77.2,48.2,23.2,56.9,0.0,0,0,22,19.0,11,58,0,6,75.9,44,0.0,0,95.8,8,0,0.0,0,60,45,7.5,10.0,1.36
Derrick Blaylock,889,HB,NYJ,2,1.3,0,62.5,,0,0,0,0.0,0,1,22,0,73.4,79.2,53.5,66.4,58.0,2.7,2,0,9,25.7,19,74,0,5,71.6,53,6.8,5,69.3,8,0,1.4,1,29,27,5.4,5.8,0.55
Sean Ryan,1865,TE,NYJ,16,3.4,0,75.0,,0,0,0,14.3,1,1,22,1,49.7,16.9,50.1,48.8,38.5,55.0,66,0,10,29.2,35,120,3,6,65.0,78,10.8,13,87.5,8,0,15.8,19,44,20,3.3,7.3,0.56
Richard Owens,2141,TE,MIN,16,8.5,0,62.5,,0,0,0,0.0,0,2,18,0,73.4,68.0,53.2,62.9,45.8,73.8,93,0,15,12.7,16,126,0,5,81.0,102,12.7,16,69.3,8,0,7.9,10,29,16,3.2,5.8,0.28
Jerame Tuman,513,TE,PIT,15,6.5,0,87.5,,0,0,0,0.0,0,5,25,0,76.8,69.8,71.8,82.6,74.2,86.6,71,0,21,35.4,29,82,1,7,63.4,52,12.2,10,144.3,8,1,1.2,1,73,36,5.1,10.4,1.4
Cedric Houston,2399,HB,NYJ,7,-1.1,1,87.5,,0,0,0,12.5,1,1,22,0,54.5,88.7,57.4,87.1,53.5,0.0,0,0,11,49.2,32,65,1,7,47.7,31,1.5,1,89.1,8,0,3.1,2,43,53,7.6,6.1,1.39
Brad Cieslak,2533,TE,BUF,7,4.4,0,75.0,,0,0,1,0.0,0,2,4,0,74.6,68.8,71.2,88.9,59.3,55.1,38,1,13,43.5,30,69,1,6,55.1,38,8.7,6,49.0,8,0,4.3,3,46,47,7.8,7.7,1.21
Lousaka Polite,2152,FB,DAL,6,3.3,0,28.6,,0,0,0,33.3,1,2,9,0,29.9,72.3,61.6,83.0,46.2,2.4,1,0,12,19.5,8,41,0,2,73.2,30,0.0,0,39.6,7,0,0.0,0,21,17,8.5,10.5,0.7
Paris Warren,2442,WR,TB,6,7.9,1,71.4,,0,0,0,0.0,0,2,30,0,73.4,68.0,72.7,,71.9,0.0,0,0,26,0.0,0,32,0,5,100.0,32,37.5,12,99.1,7,0,62.5,20,63,19,3.8,12.6,1.97
Vonta Leach,2100,FB,HST,10,3.1,2,85.7,,0,0,0,0.0,0,5,13,0,74.6,68.8,96.5,74.9,76.4,0.0,0,0,19,18.9,10,53,0,6,77.4,41,0.0,0,142.6,7,1,3.8,2,61,44,7.3,10.2,1.49
Martin Nance,3440,WR,MIN,1,12.1,0,57.1,,0,0,0,0.0,0,1,18,1,72.1,15.2,53.1,,53.2,0.0,0,0,12,0.0,0,37,0,4,97.3,36,8.1,3,69.3,7,0,91.9,34,33,13,3.3,8.3,0.92
Kyle Brady,118,TE,JAX,16,5.3,0,71.4,,0,0,0,16.7,1,2,15,0,45.8,68.0,77.0,74.8,42.1,89.0,186,0,13,57.4,120,209,5,5,41.1,86,0.5,1,83.6,7,0,0.0,0,37,13,2.6,7.4,0.43
Nate Jackson,1259,TE,DEN,6,6.2,0,83.3,,0,0,0,0.0,0,1,10,0,73.4,68.0,68.6,71.8,67.0,85.0,34,0,24,7.5,3,40,0,5,90.0,36,0.0,0,100.7,6,0,15.0,6,49,27,5.4,9.8,1.36
Tab Perry,2407,WR,CIN,2,7.3,0,83.3,,0,0,0,0.0,0,3,7,0,73.4,70.0,67.4,73.4,75.6,0.0,0,0,30,5.6,1,18,0,5,94.4,17,50.0,9,118.8,6,0,27.8,5,81,54,10.8,16.2,4.76
Darian Barnes,1216,FB,MIA,14,1.3,2,50.0,,0,0,0,50.0,3,1,17,0,26.5,65.8,57.9,37.1,27.9,0.0,0,0,13,35.8,24,67,1,3,59.7,40,0.0,0,59.0,6,0,0.0,0,22,15,5.0,7.3,0.55
Moran Norris,865,FB,SF,14,1.0,1,83.3,,0,0,0,16.7,1,3,28,0,45.8,70.0,81.7,83.5,54.2,1.5,2,0,32,53.4,70,131,0,5,44.3,58,0.0,0,131.3,6,2,5.3,7,36,35,7.0,7.2,0.62
Aaron Walker,1469,TE,SL,16,6.8,2,83.3,,0,0,0,16.7,1,4,26,0,45.8,68.0,66.0,77.5,44.6,93.1,135,0,26,55.2,80,145,1,5,43.4,63,3.4,5,113.9,6,0,0.7,1,68,32,6.4,13.6,1.08
Reno Mahe,1654,HB,PHI,4,1.7,1,83.3,,0,0,0,0.0,0,1,24,1,73.4,19.6,46.3,84.8,40.7,0.0,0,0,8,30.3,10,33,0,5,60.6,20,9.1,3,82.6,6,0,9.1,3,23,16,3.2,4.6,1.15
Courtney Roby,2285,WR,TEN,10,17.5,0,33.3,,0,0,1,0.0,0,1,31,0,68.3,66.2,56.0,,57.4,0.0,0,2,21,0.0,0,65,1,2,98.5,64,18.5,12,9.7,6,0,81.5,53,28,4,2.0,14.0,0.44
Chris Francies,3313,WR,GB,7,10.0,1,33.3,,0,0,0,0.0,0,2,12,0,68.3,64.0,58.1,,57.9,0.0,0,1,12,0.0,0,24,0,2,87.5,21,0.0,0,2.8,6,0,100.0,24,16,8,4.0,8.0,0.76
Travis Wilson,3023,WR,CLV,4,16.7,1,33.3,,0,0,0,0.0,0,2,8,0,68.3,64.0,56.7,,56.5,0.0,0,1,16,0.0,0,77,0,2,93.5,72,7.8,6,12.5,6,0,92.2,71,32,5,2.5,16.0,0.44
Clarence Moore,1915,WR,BLT,8,14.8,0,33.3,,0,0,0,0.0,0,1,3,0,68.3,64.0,62.2,74.4,57.6,11.1,3,1,4,11.1,3,27,0,2,85.2,23,40.7,11,42.4,6,1,44.4,12,1,0,0.0,0.5,0.04
Lawrence Vickers,3125,FB,CLV,11,-1.3,0,100.0,,0,0,0,0.0,0,2,8,0,74.6,71.8,55.7,81.1,71.5,0.0,0,0,29,18.8,6,32,1,6,75.0,24,6.3,2,108.3,6,0,0.0,0,60,68,11.3,10.0,2.5
Andre' Davis,1054,WR,BUF,11,20.0,0,33.3,,0,0,0,0.0,0,0,4,0,68.3,64.0,50.9,,50.6,0.0,0,0,8,0.0,0,43,0,2,100.0,43,2.3,1,42.4,6,0,97.7,42,13,5,2.5,6.5,0.3
